title,year,runtime,genre,imdb_rating,votes,certificate,metascore,gross
007: Координаты «Скайфолл»,2012,143,"['Action', 'Adventure', 'Thriller']",7.8,710540,16+,81,304360277
Люди Икс: Первый класс,2011,131,"['Action', 'Sci-Fi']",7.7,705566,12+,65,146408305
Бэтмен,2022,176,"['Action', 'Crime', 'Drama']",7.8,702826,16+,72,369345583
На игле,1996,93,['Drama'],8.1,701880,18+,83,16501785
Шрэк,2001,90,"['Animation', 'Adventure', 'Comedy']",7.9,701075,6+,84,267665011
Малышка на миллион,2004,132,"['Drama', 'Sport']",8.1,700727,16+,86,100492203
Тор 2: Царство тьмы,2013,112,"['Action', 'Adventure', 'Fantasy']",6.8,700717,12+,54,206362140
Грань будущего,2014,113,"['Action', 'Adventure', 'Sci-Fi']",7.9,700364,12+,71,100206256
Отряд самоубийц,2016,123,"['Action', 'Adventure', 'Fantasy']",5.9,700099,16+,40,325100054
Джон Уик,2014,101,"['Action', 'Crime', 'Thriller']",7.4,697820,16+,68,43037835
Район No 9,2009,112,"['Action', 'Sci-Fi', 'Thriller']",7.9,695731,14+,81,115646235
Человек-муравей,2015,117,"['Action', 'Comedy', 'Sci-Fi']",7.3,694541,12+,64,180202163
Фарго,1996,98,"['Crime', 'Thriller']",8.1,693606,16+,86,24611975
Король говорит!,2010,118,"['Biography', 'Drama', 'History']",8.0,692385,14+,88,138797449
Психо,1960,109,"['Horror', 'Mystery', 'Thriller']",8.5,688800,16+,97,32000000
Война миров Z,2013,116,"['Action', 'Adventure', 'Horror']",7.0,688502,12+,63,202359711
Kingsman: Секретная служба,2014,129,"['Action', 'Adventure', 'Comedy']",7.7,687903,18+,60,128261724
2001 год: Космическая одиссея,1968,149,"['Adventure', 'Sci-Fi']",8.3,686659,12+,84,56954992
Голодные игры: И вспыхнет пламя,2013,146,"['Action', 'Adventure', 'Sci-Fi']",7.5,684678,12+,76,424668047
Дюнкерк,2017,106,"['Action', 'Drama', 'History']",7.8,683829,16+,94,188373161
Апокалипсис сегодня,1979,147,"['Drama', 'Mystery', 'War']",8.4,683142,18+,94,83471511
Человек-паук: Возвращение домой,2017,133,"['Action', 'Adventure', 'Sci-Fi']",7.4,682145,16+,73,334201140
Дюна,2021,155,"['Action', 'Adventure', 'Drama']",8.0,682084,12+,74,108327830
Лабиринт Фавна,2006,118,"['Drama', 'Fantasy', 'War']",8.2,681718,14+,98,37634615
Хоббит: Пустошь Смауга,2013,161,['Fantasy'],7.8,679746,12+,66,258366855
Иллюзия обмана,2013,115,"['Crime', 'Mystery', 'Thriller']",7.2,679519,12+,50,117723989
Схватка,1995,170,"['Action', 'Crime', 'Drama']",8.3,678275,16+,76,67436818
Чудо-женщина,2017,141,"['Action', 'Adventure', 'Fantasy']",7.4,675460,16+,76,412563408
Человек-паук 2,2004,127,"['Action', 'Adventure', 'Sci-Fi']",7.4,674342,12+,83,373585825
Новый Человек-паук,2012,136,"['Action', 'Adventure', 'Sci-Fi']",6.9,674005,12+,66,262030663
Казино Рояль,2006,144,"['Action', 'Adventure', 'Thriller']",8.0,671736,12+,80,167445960
Загадочная история Бенджамина Баттона,2008,166,"['Drama', 'Fantasy', 'Romance']",7.8,669192,12+,70,127509326
Пираты Карибского моря: На краю света,2007,169,"['Action', 'Adventure', 'Fantasy']",7.1,667891,12+,50,309420425
Драйв,2011,100,"['Action', 'Drama']",7.8,665926,18+,78,35061555
Изгой-один. Звёздные войны: Истории,2016,133,"['Action', 'Adventure', 'Sci-Fi']",7.8,658856,12+,65,532177324
Американский психопат,2000,102,"['Crime', 'Drama', 'Horror']",7.6,658246,18+,64,15070285
Гарри Поттер и тайная комната,2002,161,"['Adventure', 'Family', 'Fantasy']",7.4,657882,16+,63,261988482
Мир Юрского периода,2015,124,"['Action', 'Adventure', 'Sci-Fi']",6.9,657856,12+,59,652270625
Гарри Поттер и узник Азкабана,2004,142,"['Adventure', 'Family', 'Fantasy']",7.9,656889,16+,82,249358727
Трансформеры,2007,144,"['Action', 'Adventure', 'Sci-Fi']",7.0,653618,12+,61,319246193
День сурка,1993,101,"['Comedy', 'Drama', 'Fantasy']",8.0,651854,12+,72,70906973
Шерлок Холмс,2009,128,"['Action', 'Adventure', 'Mystery']",7.6,648979,12+,57,209028679
Звёздные войны: Последние джедаи,2017,152,"['Action', 'Adventure', 'Fantasy']",6.9,648721,16+,84,620181382
Гарри Поттер и кубок огня,2005,157,"['Adventure', 'Family', 'Fantasy']",7.7,648159,12+,81,290013036
Бёрдмэн,2014,119,"['Comedy', 'Drama']",7.7,646233,16+,87,42340598
Жизнь Пи,2012,127,"['Adventure', 'Drama', 'Fantasy']",7.9,646143,6+,79,124987023
Ультиматум Борна,2007,115,"['Action', 'Mystery', 'Thriller']",8.0,644645,16+,85,227471070
Прочь,2017,104,"['Horror', 'Mystery', 'Thriller']",7.8,642237,18+,85,176040665
Холодное сердце,2013,102,"['Animation', 'Adventure', 'Comedy']",7.4,640431,6+,75,400738009
Она,2013,126,"['Drama', 'Romance', 'Sci-Fi']",8.0,637348,16+,91,25568251
В диких условиях,2007,148,"['Adventure', 'Biography', 'Drama']",8.1,635933,16+,73,18354356
Третий лишний,2012,106,['Comedy'],6.9,631277,18+,62,218815487
12 обезьян,1995,129,"['Mystery', 'Sci-Fi', 'Thriller']",8.0,630059,R,74,57141459
Люди Икс,2000,104,"['Action', 'Adventure', 'Sci-Fi']",7.3,628154,12+,64,157299717
Операция «Арго»,2012,120,"['Biography', 'Drama', 'Thriller']",7.7,625458,16+,86,136025503
Челюсти,1975,124,"['Adventure', 'Mystery', 'Thriller']",8.1,625401,16+,87,260000000
Омерзительная восьмерка,2015,168,"['Crime', 'Drama', 'Mystery']",7.8,624691,18+,68,54117416
1917,2019,119,"['Action', 'Drama', 'War']",8.2,623004,16+,78,159227644
Прометей,2012,124,"['Adventure', 'Mystery', 'Sci-Fi']",7.0,622531,16+,64,126477084
Ла-Ла Ленд,2016,128,"['Comedy', 'Drama', 'Music']",8.0,616937,16+,94,151101803
Заложница,2008,90,"['Action', 'Crime', 'Thriller']",7.8,615429,16+,51,145000989
Звёздный путь,2009,127,"['Action', 'Adventure', 'Sci-Fi']",7.9,610717,12+,82,257730019
Изгой,2000,143,"['Adventure', 'Drama', 'Romance']",7.8,610323,12+,73,233632142
Матрица: Перезагрузка,2003,138,"['Action', 'Sci-Fi']",7.2,609460,16+,62,281492479
Человек-паук 3: Враг в отражении,2007,139,"['Action', 'Adventure', 'Sci-Fi']",6.3,609352,12+,59,336530303
Дэдпул 2,2018,119,"['Action', 'Adventure', 'Comedy']",7.6,606774,18+,66,324591735
Бегущий по лезвию 2049,2017,164,"['Action', 'Drama', 'Mystery']",8.0,605763,18+,81,92054159
Один дома,1990,103,"['Comedy', 'Family']",7.7,605176,12+,63,285761243
Нефть,2007,158,['Drama'],8.2,603290,16+,93,40222514
Гарри Поттер и орден Феникса,2007,138,"['Action', 'Adventure', 'Family']",7.5,602328,12+,71,292004738
SuperПерцы,2007,113,['Comedy'],7.6,601123,18+,76,121463226
Рокки,1976,120,"['Drama', 'Sport']",8.1,599568,16+,70,117235247
Олдбой,2003,120,"['Action', 'Drama', 'Mystery']",8.4,597519,18+,77,707481
История игрушек 2,1999,92,"['Animation', 'Adventure', 'Comedy']",7.9,596642,6+,88,245852179
Добро пожаловать в Zомбилэнд,2009,88,"['Action', 'Comedy', 'Horror']",7.6,596249,16+,73,75590286
"Карты, деньги, два ствола",1998,107,"['Action', 'Comedy', 'Crime']",8.1,595967,18+,66,3897569
Топ Ган: Мэверик,2022,130,"['Action', 'Drama']",8.3,595190,16+,78,718732821
Секреты Лос-Анджелеса,1997,138,"['Crime', 'Drama', 'Mystery']",8.2,593821,16+,91,64616940
Одиннадцать друзей Оушена,2001,116,"['Crime', 'Thriller']",7.7,592480,12+,74,183417150
Области тьмы,2011,105,"['Sci-Fi', 'Thriller']",7.4,590059,16+,59,79249455
Дневник памяти,2004,123,"['Drama', 'Romance']",7.8,588975,16+,53,81001787
Петля времени,2012,119,"['Action', 'Drama', 'Sci-Fi']",7.4,587508,18+,84,66486205
День независимости,1996,145,"['Action', 'Adventure', 'Sci-Fi']",7.0,587222,12+,59,306169255
